LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID2683 → ID3752,0,2683,3752,8.845389865928096,2.5847791003841847,2.9741200153874248,2.9741200153874248,9.5,335.2463623113525,250.17358261353252,0.0,
ID2562 → ID2945,0,2562,2945,2.2250738585072014E-308,0.0,0.0,0.0,13.5,335.4183153256806,240.59195461600942,0.0,
ID3288 → ID2256,0,3288,2256,20.49877941048653,0.0,4.52755777549956,4.52755777549956,11.5,335.46844304193877,246.43898929403196,0.0,
ID5837 → ID5619,0,5837,5619,2.2250738585072014E-308,0.0,0.0,0.0,16.5,346.7728743859082,232.55910128275593,0.0,
ID3736 → ID2683,0,3736,2683,23.590486104324818,0.0,4.85700381967369,4.85700381967369,8.5,336.51249389488004,249.5618199776931,0.0,
ID2256 → ID2562,0,2256,2562,13.051434175229256,0.20497411092287976,3.612676871134375,3.612676871134375,12.5,335.5760901258126,242.39138943179205,0.0,
ID3693 → ID3736,0,3693,3736,2.2250738585072014E-308,NaN,0.0,0.0,7.5,337.7352843249879,247.46362906881043,0.0,
ID2945 → ID5837,0,2945,5837,193.452744125758,0.0,6.954364531101278,13.908729062202555,15.0,341.0955948557944,236.57552794938266,0.0,
ID3752 → ID3288,0,3752,3288,2.2250738585072014E-308,0.0,0.0,0.0,10.5,335.20302115793294,248.6871543404893,0.0,
ID2607 → ID3587,1,2607,3587,77.25136051028834,1.7339164587915583,8.789275312008854,8.789275312008854,12.5,609.4626314398727,717.4960617442541,0.0,
ID5485 → ID4455,1,5485,4455,276.563307209183,0.0,16.630192638967927,16.630192638967927,3.5,602.1259247490739,697.807652735408,0.0,
ID4857 → ID5485,1,4857,5485,2.2250738585072014E-308,0.0,0.0,0.0,2.5,608.7182672268038,692.7399266715198,0.0,
ID3587 → ID4306,1,3587,4306,2.2250738585072014E-308,0.0,0.0,0.0,13.5,605.0822628906392,717.849914115249,0.0,
