LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2256,2256,0,10.201271057128906,335.7338649259446,244.19082424757465,0.0,12.0,12,5.0,1,,123.71134020618557,102.0,45.0,255.0,12000.0,57.75522320587236,0.09820593922475061,0.3830912267760664
ID2945,2945,0,9.252418518066406,335.4183153256806,240.59195461600942,0.0,14.0,14,5.0,1,,124.04123711340206,107.0,52.0,255.0,12032.0,55.558324744844576,0.11921832538410292,0.47563647019546124
ID2562,2562,0,9.252418518066406,335.4183153256806,240.59195461600942,0.0,13.0,13,5.0,1,,124.04123711340206,107.0,52.0,255.0,12032.0,55.558324744844576,0.11921832538410292,0.47563647019546124
ID5619,5619,0,12.18377685546875,346.7728743859082,232.55910128275593,0.0,17.0,17,5.0,1,,199.5257731958763,205.0,123.0,255.0,19354.0,40.767913440879255,0.1716505964508299,1.4340282694339073
ID3288,3288,0,10.222694396972656,335.20302115793294,248.6871543404893,0.0,11.0,11,5.0,1,,124.14432989690722,111.0,0.0,255.0,12042.0,57.46429864321587,0.14990803603305716,0.5632751335727558
ID3752,3752,0,10.222694396972656,335.20302115793294,248.6871543404893,0.0,10.0,10,5.0,1,,124.14432989690722,111.0,0.0,255.0,12042.0,57.46429864321587,0.14990803603305716,0.5632751335727558
ID3736,3736,0,5.763771057128906,337.7352843249879,247.46362906881043,0.0,8.0,8,5.0,1,,129.82474226804123,110.0,60.0,255.0,12593.0,51.216047759564255,0.11811725355064057,0.5355590889939239
ID2683,2683,0,7.0074310302734375,335.2897034647722,251.66001088657575,0.0,9.0,9,5.0,1,,122.5979381443299,115.0,44.0,237.0,11892.0,40.11874556494093,0.15316947783724646,0.8117922666685254
ID5837,5837,0,12.18377685546875,346.7728743859082,232.55910128275593,0.0,16.0,16,5.0,1,,199.5257731958763,205.0,123.0,255.0,19354.0,40.767913440879255,0.1716505964508299,1.4340282694339073
ID3693,3693,0,5.763771057128906,337.7352843249879,247.46362906881043,0.0,7.0,7,5.0,1,,129.82474226804123,110.0,60.0,255.0,12593.0,51.216047759564255,0.11811725355064057,0.5355590889939239
ID4770,4770,1,5.8280181884765625,595.5335822713439,702.8753787992964,0.0,5.0,5,5.0,1,,101.9278350515464,97.0,26.0,218.0,9887.0,38.474625681166046,0.0887325876564759,0.43182752064716057
ID3587,3587,1,11.770477294921875,605.0822628906392,717.849914115249,0.0,13.0,13,5.0,1,,188.90721649484536,188.0,117.0,255.0,18324.0,40.6676269885486,0.159522154749676,1.2781201133734628
ID4548,4548,1,9.695724487304688,613.3920578995618,722.5948547373241,0.0,11.0,11,5.0,1,,192.11340206185568,195.0,100.0,255.0,18635.0,40.535446496620864,0.1179401095358265,0.9999900668734354
ID4774,4774,1,7.4324951171875,592.4408379887211,695.1724453350715,0.0,7.0,7,5.0,1,,131.02061855670104,108.0,51.0,255.0,12709.0,55.89703692606078,0.0834911961083526,0.3612402634947473
ID4455,4455,1,5.8280181884765625,595.5335822713439,702.8753787992964,0.0,4.0,4,5.0,1,,101.9278350515464,97.0,26.0,218.0,9887.0,38.474625681166046,0.0887325876564759,0.43182752064716057
ID4808,4808,1,7.4324951171875,592.4408379887211,695.1724453350715,0.0,8.0,8,5.0,1,,131.02061855670104,108.0,51.0,255.0,12709.0,55.89703692606078,0.0834911961083526,0.3612402634947473
ID4777,4777,1,11.481002807617188,611.1927085535254,725.4255317848538,0.0,6.0,6,5.0,1,,175.8762886597938,176.0,90.0,255.0,17060.0,51.35664873622312,0.1446352233795915,0.8654611481849315
ID4811,4811,1,9.695724487304688,613.3920578995618,722.5948547373241,0.0,10.0,10,5.0,1,,192.11340206185568,195.0,100.0,255.0,18635.0,40.535446496620864,0.1179401095358265,0.9999900668734354
ID5485,5485,1,10.782485961914062,608.7182672268038,692.7399266715198,0.0,3.0,3,5.0,1,,179.62886597938143,183.0,97.0,255.0,17424.0,45.082174874432724,0.14849289624528822,1.0303354181812638
ID2607,2607,1,12.256149291992188,613.842999989106,717.1422093732591,0.0,12.0,12,5.0,1,,181.16494845360825,183.0,90.0,255.0,17573.0,42.2738296734248,0.178362854764467,1.297352365633852
ID4306,4306,1,11.770477294921875,605.0822628906392,717.849914115249,0.0,14.0,14,5.0,1,,188.90721649484536,188.0,117.0,255.0,18324.0,40.6676269885486,0.159522154749676,1.2781201133734628
ID5526,5526,1,10.782485961914062,608.7182672268038,692.7399266715198,0.0,1.0,1,5.0,1,,179.62886597938143,183.0,97.0,255.0,17424.0,45.082174874432724,0.14849289624528822,1.0303354181812638
ID3929,3929,1,9.902542114257812,616.7714915634939,722.3629321573982,0.0,9.0,9,5.0,1,,196.61855670103094,201.0,98.0,255.0,19072.0,47.635867810525454,0.10519203680761786,0.785715888339463
ID4857,4857,1,10.782485961914062,608.7182672268038,692.7399266715198,0.0,2.0,2,5.0,1,,179.62886597938143,183.0,97.0,255.0,17424.0,45.082174874432724,0.14849289624528822,1.0303354181812638
ID5117,5117,1,10.782485961914062,608.7182672268038,692.7399266715198,0.0,0.0,0,5.0,1,,179.62886597938143,183.0,97.0,255.0,17424.0,45.082174874432724,0.14849289624528822,1.0303354181812638
